正文 nz
东门 ns
滩 ng
这样 r
的 uj
自由市场 n
的 uj
人 n
海 n
时 ng
， x
我 r
的 uj
自行车 n
也 d
能 v
像 v
鱼 n
在 p
水里 s
那般 r
穿行 v
。 x
来到 v
通向 n
省委 j
的 uj
那条 mq
宽阔 a
的 uj
大道 n
上后 t
， x
行人 n
稀少 a
了 ul
， x
只有 c
中心 n
道 q
上 f
穿梭 v
着 uz
一些 m
拉 v
起 v
窗帘 n
的 uj
小汽车 n
， x
像 v
箭 n
一般 a
地 uv
飞驰 v
而 c
过 ug
。 x
两边 f
的 uj
法国梧桐 ns
辐射 v
出 v
浓密 a
的 uj
枝叶 n
， x
给 p
街面 n
铺下 v
了 ul
很 d
宽 a
的 uj
阴凉 nr
； x
头顶 n
上 f
赤日炎炎 nr
的 uj
蓝天 nr
只 d
留 v
了 ul
带 v
了 ul
般的 u
一条 m
。 x
我 r
在 p
车上 s
凑合着 a
点着 v
一支 m
烟 n
， x
一只 m
手扶 b
把 p
， x
一只 m
手 n
抽烟 v
， x
并 c
把 p
车速 n
放慢 v
了 ul
一些 m
， x
以便 c
在 p
脑子里 n
思索 n
一些 m
事 n
。 x
我 r
当然 d
首先 d
想起 v
了 ul
刚才 t
我 r
和 c
郑小芳 x
的 uj
会面 n
。 x
是 v
的 uj
， x
可爱 v
的 uj
小鸟 n
！ x
她 r
正如 v
我 r
所 u
预料 n
的 uj
那样 r
， x
没有 v
一点 m
精神 n
准备 v
。 x
她 r
仍然 d
在 p
做 v
着 uz
她 r
的 uj
那些 r
沙漠 n
的 uj
梦 n
。 x
当然 d
， x
她 r
是 v
无可指责 l
的 uj
。 x
在 p
不远 d
的 uj
以前 f
， x
我 r
不是 c
也 d
和 c
她 r
一样 r
坚持 v
要 v
到 v
那个 r
荒凉 a
的 uj
地方 n
去 v
吗 y
？ x
我 r
承认 v
， x
从 p
精神 n
上业 n
说 v
， x
这种 r
追求 v
永远 d
具有 v
崇高 nrt
的 uj
性质 n
。 x
凡是 d
崇高 nrt
的 uj
东西 ns
， x
都 d
会 v
引起 v
人 n
一种 m
敬畏 nr
的 uj
情感 n
， x
以致 c
在 p
背叛 v
它 r
的 uj
时候 n
， x
使 v
你 r
自己 r
都 d
能 v
感觉 n
到 v
一种 m
灵魂 n
的 uj
颤栗 v
。 x
我 r
脑子里 n
莫名其妙 i
地 uv
冒 v
出达 v
・ x
芬奇 nrt
的 uj
《 x
最后的晚餐 x
》 x
。 x
这 r
使 v
我 r
心里 s
极 d
不 d
愉快 a
。 x
但 c
我 r
也 d
有 v
为 p
自己 r
辩解 v
的 uj
理由 n
： x
我 r
留在 v
这 r
城市 ns
， x
并 c
不是 c
干坏事 n
。 x
我 r
在 p
这里 r
也许 d
要比 v
在 p
沙漠 n
里 f
更 d
能 v
充分 ad
施展 vn
自己 r
的 uj
才能 v
， x
这 r
同时 c
不 d
也 d
就 d
对 p
社会 n
的 uj
贡献 n
更 d
大 a
吗 y
？ x
再说 c
， x
充分发挥 n
知识分子 n
的 uj
聪敏 a
才智 nr
， x
也 d
是 v
现代 t
我们 r
国家 n
所 c
提倡 v
的 uj
政策 n
。 x
这 r
有 v
什么 r
可以 c
称之为 v
卑下 n
呢 y
？ x
我 r
在 p
内心 n
已经 d
不知 v
这样 r
为 p
自己 r
辩解 v
了 ul
多少 m
次 q
。 x
当然 d
， x
我 r
也 d
承认 v
， x
城市 ns
优裕 a
的 uj
生活 vn
条件 n
也 d
是 v
一个 m
重要 a
的 uj
吸引力 n
。 x
但 c
人们 n
活着 v
， x
不是 c
应该 v
生活 vn
得 ud
更好 d
一些 m
吗 y
？ x
世界 n
上有 v
谁 r
反对 d
这 r
一点 m
呢 y
？ x
我 r
现在 t
感到 v
惊讶 a
的 uj
是 v
， x
我 r
怎么 r
能 v
一下子 m
就 d
改变 v
得 ud
这样 r
快 a
呢 y
？ x
我 r
又 d
感到 v
惊讶 a
的 uj
是 v
， x
郑小芳 x
怎么 r
能 v
这么 r
长时间 l
一点 m
也 d
没有 v
改变 v
呢 y
？ x
我 r
相信 v
她 r
也 d
会 v
改变 v
的 uj
。 x
只要 c
留下来 v
， x
城市 ns
生活 vn
的 uj
巨浪 nz
会 v
慢慢 d
冲刷 vn
掉 v
她 r
思想 n
中 f
那些 r
沉积 n
已 d
久 a
的 uj
沙丘 nr
― x
― x
这 r
句 q
话 n
简直 d
是 v
一行 m
绝妙 a
的 uj
诗 n
！ x
已经 d
到 v
省委 j
家属院 n
的 uj
大门口 ns
了 ul
。 x
我 r
把 p
自行车 n
在 p
对面 n
马路上 l
的 uj
存车处 n
存好 v
， x
就 d
向 p
那个 r
已经 d
进去 v
过 ug
几回 m
的 uj
非凡 d
的 uj
大门口 ns
走 v
去 v
。 x
站岗 v
的 uj
军人 n
立刻 d
用 p
警惕 v
的 uj
目光 n
盯住 v
了 ul
我 r
。 x
我 r
虽然 c
跟 p
岳志明 x
来 v
过 ug
几回 m
， x
但 c
军人 n
不会 v
记住 v
我 r
。 x
我 r
的 uj
脚步 n
有些 r
慌乱 a
， x
心 n
怦怦直跳 v
， x
几乎 d
像 v
一个 m
作案 n
的 uj
歹徒 n
一样 r
。 x
“ x
干什么 l
？ x
” x
军人 n
威严地 nz
喝问 v
了 ul
一声 m
， x
就 d
向 p
我 r
走来 v
。 x
我 r
站住 v
了 ul
。 x
哨兵 n
走到 v
我 r
面前 f
， x
再 d
一次 m
问 n
： x
“ x
干什么 l
？ x
” x
我 r
回答 v
： x
“ x
我 r
找 v
一下 m
岳志明 x
同志 n
。 x
” x
“ x
有 v
证件 n
吗 y
？ x
” x
我 r
赶忙 d
在 p
口袋 n
里 f
摸 v
学生证 n
。 x
糟糕 a
！ x
学生证 n
丢 v
在 p
宿舍 n
里 f
了 ul
。 x
我 r
只好 d
说 v
： x
“ x
忘记 v
带 v
了 ul
。 x
我 r
是 v
省 n
师范大学 n
的 uj
， x
岳志明 x
的 uj
同学 n
。 x
” x
“ x
你 r
叫 v
什么 r
名字 n
？ x
” x
“ x
薛峰 x
。 x
” x
“ x
你 r
先 d
等 u
一下 m
。 x
” x
军人 n
说完 v
便 d
向 p
哨楼 n
走 v
去 v
。 x
我 r
听见 v
哨楼 n
里 f
传来 v
拨 v
自动电话 l
的 uj
声音 n
， x
接着 c
便 d
听见 v
军人 n
说 v
： x
“ x
喂 v
， x
岳 nr
部长 n
吗 y
？ x
… x
… x
噢 e
， x
岳志明 x
， x
有个 r
你 r
的 uj
同学 n
说 v
他 r
叫 v
薛峰 x
， x
现在 t
在 p
大门口 ns
。 x
让 v
进来 v
吧 y
？ x
噢 e
。 x
” x
军人 n
出来 v
， x
给 p
我 r
打了个 n
让 v
进去 v
的 uj
手势 n
， x
然后 c
又 d
笔挺 z
地站 n
在 p
了 ul
原来 d
的 uj
位置 v
上 f
。 x
我 r
赶忙 d
往里面 n
走 v
去 v
。 x
进 v
大门 n
不远 d
， x
我 r
就 d
看见 v
岳志明 x
穿着 v
拖鞋 n
， x
懒懒散散 v
地 uv
走 v
出来 v
迎接 v
我 r
。 x
我们 r
一同 d
走进 v
了 ul
他们 r
家 m
的 uj
会客厅 n
。 x
保姆 nrt
给 p
我们 r
端过来 v
两杯 m
饮料 n
。 x
我 r
一看 u
， x
杯子 n
里 f
黑糊糊 z
的 uj
， x
不知 v
是 v
何物 n
。 x
岳志明 x
说 v
： x
“ x
你 r
喝咖啡 nr
。 x
这 r
很 d
不错 a
， x
巴西 ns
的 uj
， x
速溶 n
， x
不用 v
煮 v
。 x
” x
噢 e
， x
这 r
是 v
咖啡 n
。 x
我 r
以前 f
只 d
在 p
外国 ns
小说 n
里 f
不断 d
看过 v
喝咖啡 nr
。 x
我 r
今天 t
也 d
喝 vg
了 ul
这种 r
高贵 a
的 uj
饮料 n
。 x
不过 c
， x
我 r
喝 vg
不 d
惯 v
， x
觉得 v
有 v
一种 m
奇怪 v
的 uj
苦味 n
。 x
不一会 l
， x
听见 v
门口 s
有 v
汽车 n
停住 v
的 uj
声音 n
。 x
这 r
大概 d
是 v
岳志明 x
他 r
父亲 n
回来 v
了 ul
。 x
是 v
的 uj
， x
果真 d
是 v
岳 nr
部长 n
。 x
当 p
他 r
走进 v
客厅 n
里 f
， x
岳志明 x
马上 d
给 p
他 r
介绍 v
了 ul
我 r
。 x
岳志明 x
父亲 n
是 v
个 q
和蔼 nr
的 uj
老头 n
， x
一 m
听说 v
是 v
儿子 n
的 uj
同学 n
， x
便 d
热情 n
地 uv
和 c
我 r
握手 v
， x
问 v
我 r
是 v
哪里 r
人 n
， x
父母亲 n
是 v
干什么 l
的 uj
等等 u
。 x
我 r
非常 d
抱歉 v
地 uv
回答 v
他 r
的 uj
问话 n
。 x
我 r
还 d
从来 d
没有 v
和 c
这么 r
大 a
的 uj
官 n
交谈 v
过 ug
， x
因此 c
说话 v
都 d
有些 r
结巴 n
了 ul
。 x
组织部长 n
索性 n
坐在 v
了 ul
客厅 n
的 uj
沙发 nz
上 f
， x
和 c
我 r
拉起 v
了 ul
家常 n
。 x
他 r
说 v
我们 r
家乡 n
是 v
老区 n
， x
他 r
解放战争 nz
就 d
在 p
那些 r
地方 n
打过仗 l
， x
并且 c
说出 v
了 ul
我们 r
那 r
一带 n
许多 m
地方 n
的 uj
名字 n
。 x
这 r
一切 r
使 v
我 r
心里 s
深受感动 l
。 x
岳志明 x
又 d
告诉 v
父亲 n
， x
我 r
就是 d
和 c
他 r
合写 v
作品 n
的 uj
那个 r
人 n
。 x
老头 n
更 d
高兴 b
了 ul
， x
并且 c
从 p
刚才 t
放在 v
旁边 f
的 uj
公文包 n
里 f
拿出 v
那 r
了 ul
张 nr
省报 n
， x
说 v
： x
“ x
你们 r
的 uj
诗 n
写 v
得 ud
很 d
不错 a
嘛 y
！ x
岳志明 x
基础 n
差 a
， x
你 r
要 v
好好 d
帮助 v
他 r
。 x
文革 n
中 f
我 r
和 c
他 r
妈 n
关了 p
牛棚 n
， x
他 r
没人管 l
， x
耽搁 v
了 ul
。 x
他 r
哥哥 ns
就 d
好 a
一些 m
， x
去年 t
考上 v
了 ul
社会科学院 nt
的 uj
研究生 n
… x
… x
” x
老头 n
看来 v
很 d
爱 v
他 r
的 uj
这个 r
小儿子 nr
， x
甚至 d
像 v
对待 v
同志 n
一样 r
称 v
他 r
“ x
岳志明 x
” x
， x
而 c
不呼 v
小名 n
。 x
他 r
看来 v
对 p
儿子 n
能 v
发表 v
作品 n
感到 v
由衷 d
的 uj
高兴 b
。 x
在 p
这个 r
好 a
老头 n
面前 f
， x
我 r
刹那间 t
涌上 v
了 ul
一种 m
羞愧 a
感 v
。 x
我 r
同时 c
也 d
为 p
岳志明 x
感到 v
羞愧 a
。 x
我 r
知道 v
老头 n
并 c
不 d
真正 d
了解 v
他 r
的 uj
儿子 n
。 x
是 v
的 uj
， x
他 r
爱 v
他 r
， x
但 c
并 c
不 d
了解 v
他 r
。 x
而 c
更 d
令 v
我 r
难受 v
的 uj
是 v
， x
岳志明 x
竟然 d
能 v
毫不 d
害臊 a
地 uv
瞒哄 v
他 r
父亲 n
， x
以 p
致使 v
这位 rz
组织部长 n
竟然 d
相信 v
自己 r
的 uj
儿子 n
真 d
能 v
写出 v
什么 r
作品 n
来 v
。 x
他 r
可能 v
是 v
一个 m
明察秋毫 nr
的 uj
组织部长 n
， x
但 c
也许 d
是 v
一个 m
糊里糊涂 z
的 uj
父亲 n
。 x
他 r
父亲 n
要 v
休息 v
， x
岳志明 x
便 d
把 p
我 r
带到 v
他 r
的 uj
宿舍 n
。 x
他 r
的 uj
宿舍 n
并 c
不 d
和 c
他家 r
的 uj
房子 n
套 m
在 p
一起 m
， x
而是 c
在 p
另外 c
的 uj
一排 m
的 uj
一个 m
单间 n
。 x
这个 r
房子 n
的 uj
布置 n
也 d
是 v
另外 c
一套 m
。 x
新式 n
的 uj
沙发床 nz
， x
小 a
酒柜 n
， x
十四 m
英寸 n
彩色 n
电视机 n
和 c
一个 m
四 m
喇叭 n
的 uj
录音机 n
。 x
墙上 s
贴着 v
电影演员 n
刘晓庆 nr
和 c
陈冲 nr
的 uj
大幅 d
彩色照片 n
。 x
我们 r
开始 v
商量 n
小说 n
提纲 v
。 x
原来 d
我们 r
准备 v
写 v
一篇 m
反映 v
大学生 n
生活 vn
的 uj
小说 n
。 x
但 c
岳志明 x
说 v
， x
他 r
听 v
了 ul
一个 m
故事 n
很 zg
不错 a
， x
可以 c
说 v
是 v
现成 v
的 uj
小说 n
。 x
“ x
什么 r
故事 n
？ x
” x
我 r
问 v
他 r
。 x
他 r
说 v
： x
“ x
我 r
听 v
的 uj
是 v
社会 n
上 f
传说 n
的 uj
一个 m
笑话 n
。 x
噢 e
， x
是 v
这样 r
的 uj
： x
某年某月 nrt
， x
在 p
某 r
一列 m
客车 n
上 f
， x
两个 m
彼此 r
都 d
陌生 n
的 uj
男人 n
和 c
一个 m
陌生 n
的 uj
女人 n
坐在 v
同一 b
节车厢 n
的 uj
同 n
一张 m
椅子 n
上 f
。 x
那个 r
女人 n
正好 a
坐在 v
两个 m
男人 n
中间 f
。 x
结果 n
， x
这 r
两个 m
男人 n
都 d
看上 v
了 ul
这个 r
女人 n
。 x
临下 b
火车 n
前 f
， x
这 r
两个 m
男人 n
都 d
把 p
自己 r
地址 n
写 v
好 a
― x
― x
当然 d
都 d
还 d
写 v
了 ul
一些 m
热烈 a
的 uj
求爱 v
话 n
， x
把 p
这个 r
女人 n
从头到脚 l
赞美 ns
了 ul
一番 m
。 x
他们 r
把 p
纸条 n
偷偷地 i
往 zg
那个 r
女人 n
的 uj
口袋 n
里 f
塞 v
去 v
。 x
结果 n
两个 m
人 n
由于 c
慌乱 a
， x
把 p
纸条 n
分别 d
塞 v
在 p
了 ul
对方 n
的 uj
口袋 n
里 f
。 x
以后 f
， x
这 r
两个 m
男人 n
就 d
在 p
两地 n
互相 d
通信 j
， x
热烈 a
地 uv
谈起 v
了 ul
恋爱 v
。 x
谈到 v
一定 d
的 uj
时候 n
， x
两个 m
人 n
都 d
想 v
很快 d
和 c
对方 n
相会 v
。 x
他们 r
于是 c
就 d
有 v
信 n
中 f
约定 v
， x
某月某日 nrt
某时 r
在 p
某 r
车站 n
某个 r
地方 n
见面 n
。 x
结果 n
一 m
见 v
才 d
发现 v
对方 n
是 v
男 b
的 uj
。 x
这 r
两个 m
男人 n
就 d
互相 d
臭骂 v
了 ul
一通 m
， x
然后 c
又 d
各自 r
在 p
心里 s
臭骂 v
了 ul
自己 r
一通 m
， x
就 d
各 r
回 v
各家 r
去 v
了 ul
… x
… x
你 r
看 v
这 r
妙 a
不妙 a
？ x
纯粹 a
是 v
一个 m
契诃夫式 x
的 uj
短篇 b
！ x
” x
他 r
叫 v
道 q
。 x
我 r
听 v
后 f
忍不住 v
皱 v
皱眉 n
， x
说 v
： x
“ x
我 r
好像 v
看见 v
一个 m
杂志 n
上 f
已经 d
发表 v
过 ug
一篇 m
小说 n
， x
就是 d
这个 r
故事 n
。 x
” x
“ x
是 v
吗 y
？ x
太 d
遗憾 a
了 ul
！ x
这么 r
好 a
个 q
题材 n
叫 v
别人 r
抢走了 l
！ x
” x
他 r
丧气 n
地 uv
说 v
。 x
我 r
说 v
： x
“ x
咱 r
还是 c
按 p
咱 r
原来 d
说 v
的 uj
构思 v
。 x
” x
岳志明 x
说 v
： x
“ x
我 r
今天 t
脑子 n
有点 n
乱 d
， x
咱 r
改天 v
再说 c
吧 y
… x
… x
哎 e
， x
你 r
不是 c
说 v
你 r
有个 r
女朋友 n
在 p
林业 n
学院 n
想 v
留校 v
吗 y
？ x
咱 r
干脆 d
现在 t
找 v
我 r
妈 n
去 v
。 x
这 r
事宜 n
早 a
不宜 a
迟 a
！ x
你 r
到 v
《 x
北方 f
》 x
去 v
的 uj
事 n
我 r
已经 d
给 p
我 r
妈 n
说 v
了 ul
。 x
本来 t
你 r
两口子 n
的 uj
事 n
当时 t
可以 c
一块 m
说 v
， x
但 c
我 r
妈 n
对 p
这些 r
事 n
已经 d
烦 v
透顶 n
了 ul
， x
只好 d
先 d
把 p
你 r
的 uj
说 v
了 ul
… x
… x
咱 r
现在 t
去 v
呢 y
！ x
” x
我 r
很 d
高兴 b
岳志明 x
的 uj
提议 v
。 x
我 r
正是 d
为 p
此事 r
而 c
来 v
。 x
正是 d
为了 p
我 r
和 c
郑小芳 x
的 uj
前途 n
， x
我 r
才 d
耐 v
着 uz
心 n
和 c
我 r
的 uj
这个 r
浅薄 a
的 uj
朋友 n
胡扯 v
了 ul
这么 r
许多 m
。 x
我们 r
于是 c
一同 d
骑 v
着 uz
自行车 n
去 v
省 n
教育局 n
。 x
到 v
了 ul
教育局 n
大门口 ns
， x
我 r
要 v
下车 v
， x
岳志明 x
说 v
别 r
麻烦 an
了 ul
， x
下来 t
还要 c
登记 v
， x
闯进去 v
就行了 l
。 x
我们 r
刚 d
进 v
了 ul
大门口 ns
， x
就 d
被 p
门房 n
老头 n
在 p
后面 f
喝住 v
了 ul
。 x
他 r
有点 n
恼怒 v
地 uv
喊 v
： x
“ x
年轻人 n
连 nr
个 q
规矩 n
都 d
不 d
懂 v
！ x
怎么 r
一 m
闯 v
就 d
进去 v
了 ul
？ x
你们 r
找 v
谁 r
？ x
” x
我们 r
尴尬 a
地下 s
了车 v
， x
岳志明 x
说 v
： x
“ x
我 r
找 v
我 r
妈 n
！ x
” x
老头 n
气呼呼 z
问 n
： x
“ x
你 r
妈 n
是 v
谁 r
？ x
” x
“ x
高建芳 nr
！ x
” x
“ x
不管 c
找 v
谁 r
都 d
要 v
登记 v
！ x
” x
老头 n
不 d
客气 n
地 uv
说 v
。 x
我们 r
只好 d
又 d
退回去 l
在 p
门房 n
登记 v
完 v
， x
才 d
被 p
允许 v
进 v
了 ul
院内 s
的 uj
办公大楼 n
。 x
岳志明 x
母亲 n
是 v
个 q
大个子 m
女人 n
， x
头发 n
已经 d
有些 r
花白 nr
， x
穿着 v
一身 m
普通 nz
的 uj
干部 n
服 v
， x
看起来 v
是 v
一个 m
很 d
有 v
魄力 n
的 uj
领导 n
。 x
当 t
岳志明 x
把 p
我 r
介绍 v
给 p
她 r
时 ng
， x
她 r
从 p
椅子 n
上 f
欠 v
起身 v
和 c
我 r
握 v
了 ul
握手 v
。 x
那 r
手 n
是 v
生硬 a
的 uj
， x
带 v
着 uz
一种 m
勉强 v
， x
就 d
像 v
握住 v
的 uj
是 v
一个 m
扫帚 n
把 p
。 x
大概 d
找 v
她 r
的 uj
人 n
太 d
多 m
了 ul
， x
正如 v
岳志明 x
所说 c
的 uj
： x
“ x
烦 v
透顶 n
了 ul
。 x
” x
岳志明 x
给 p
他 r
母亲 n
说明 v
了 ul
来意 v
。 x
我 r
在 p
岳志明 x
说话 v
的 uj
过程 n
中 f
， x
又 d
及时 c
作 v
了 ul
一些 m
必要 d
的 uj
补充 v
。 x
分配 vn
办 v
主任 b
眼睛 n
厌烦 v
地 uv
瞪 v
着 uz
岳志明 x
， x
听 v
他 r
说完 v
。 x
她 r
然后 c
转向 v
我 r
， x
一副 m
公事公办 n
的 uj
样子 n
， x
态度 n
平静 a
地 uv
说 v
： x
“ x
类似 v
的 uj
要求 v
很多 m
。 x
大学生 n
分配 vn
中 f
谁 r
去 v
哪里 r
， x
除个别 n
特殊 a
情况 n
以外 c
， x
权限 n
都 d
在 p
各 r
院校 n
。 x
我们 r
没有 v
权力 n
直接 ad
干涉 v
各 r
院校 n
的 uj
分配 vn
， x
因此 c
我 r
很 d
难 a
帮助 v
你 r
… x
… x
” x
我 r
脑子 n
“ x
嗡 zg
” x
地 uv
响 v
了 ul
一声 m
： x
这 r
下全 v
完 v
了 ul
！ x
我 r
看 v
了 ul
看 v
岳志明 x
， x
他 r
若无其事 i
坐在 v
那里 r
翻 v
一本 m
《 x
中国妇女 x
》 x
杂志 n
。 x
我 r
低下头 n
， x
坐在 v
那里 r
窘迫 a
得 ud
一句 m
话 n
也 d
说不出来 l
， x
就 d
像 v
专门 n
被 p
传来 v
受审 v
的 uj
犯人 n
一样 r
。 x
我 r
在 p
心里 s
抱怨 v
岳志明 x
： x
既然 c
是 v
这样 r
， x
他 r
为什么 r
要 v
把 p
我 r
带来 v
见 v
这位 rz
铁面无私 i
的 uj
法官 n
呢 y
? x
那位 r
法官 n
又 d
继续 v
宣判 vn
道 q
： x
“ x
我 r
这里 r
不能 v
搞 v
这些 r
不正之风 i
。 x
全省 n
几十万 m
大学生 n
， x
如果 c
这样 r
一 m
搞 v
， x
岂 d
不 d
乱了套 i
？ x
再说 c
， x
就是 d
可以 c
照顾 v
个别人 n
， x
但 c
这 r
传出去 v
也 d
会 v
影响 vn
许多 m
人 n
的 uj
分配 vn
， x
到 v
时 ng
不是 c
给 p
报纸 n
写信 v
揭发 v
， x
就是 d
到 v
省纪委 j
去 v
告状 v
， x
甚至 d
结伙 n
来 v
我们 r
这里 r
闹 v
… x
… x
” x
我 r
还是 c
一句 m
话 n
也 d
说不出来 l
， x
脑门子 n
上 f
已经 d
冒出 v
了 ul
汗水 n
。 x
我 r
真 d
想 v
一 m
拧 v
身 ng
就 d
走 v
。 x
这时候 r
， x
我 r
听见 v
岳志明 x
说 v
： x
“ x
妈 n
， x
算了 v
别说 c
这些 r
话 n
了 ul
， x
都 d
快下班 n
了 ul
， x
我们 r
还要 c
回 v
学校 n
去 v
… x
… x
” x
我 r
听见 v
这话 r
， x
赶快 d
站 v
起来 v
准备 v
走 v
。 x
岳志明 x
母亲 n
却 d
拿 v
起笔 v
， x
从 p
桌子 n
上 f
翻开 v
一个 m
笔记本 n
， x
问 v
我 r
： x
“ x
你 r
的 uj
女朋友 n
是 v
哪个 r
大学 n
的 uj
？ x
学 n
什么 r
专业 n
？ x
叫 v
什么 r
名字 n
？ x
” x
希望 v
之 u
光 n
一瞬间 m
便 d
像 v
闪电 v
一般 a
照亮 v
了 ul
我 r
的 uj
眼睛 n
。 x
我 r
赶忙 d
一一 m
回答 v
了 ul
她 r
的 uj
提问 v
。 x
我 r
看见 v
她 r
把 p
这些 r
都 d
写 v
在 p
了 ul
那个 r
笔记本 n
上 f
。 x
我 r
她 r
不 d
容易 a
才 d
逃出 v
了 ul
这个 r
折磨 v
人 n
的 uj
地方 n
。 x
路上 s
， x
我 r
对 p
岳志明 x
说 v
： x
“ x
根据 p
你 r
母亲 n
的 uj
态度 n
， x
我 r
已经 d
不 d
抱 v
什么 r
希望 v
了 ul
。 x
” x
岳志明 x
却 d
大笑 v
了 ul
， x
说 v
： x
“ x
我 r
妈 n
那些 r
话 n
已 d
在 p
她 r
心中 s
录成 v
了 ul
磁带 n
， x
对来 v
的 uj
任何人 r
都 d
要 v
放 v
一遍 m
的 uj
。 x
可怜 v
的 uj
人 n
！ x
你 r
竟然 d
被 p
这位 rz
牧师 n
神圣 ns
的 uj
布道 v
词 n
快 a
吓昏 v
了 ul
！ x
你 r
放心 v
， x
她 r
该 r
办 v
的 uj
事会 n
办 n
， x
否则 c
她 r
为什么 r
要 v
记 v
在 p
笔记本 n
上 f
？ x
” x
我 r
脑子里 n
又 d
“ x
嗡 zg
” x
地 uv
一声 m
， x
几乎 d
把 p
自行车 n
都 d
骑 v
到 v
了 ul
人行道 n
上 f
… x
… x
生活 vn
啊 zg
， x
你 r
又 d
给 p
我 r
上 f
了 ul
一堂课 n
！ x
五 m
（ x
郑小芳 x
） x
我 r
怎么 r
也 d
想不到 l
， x
生活 vn
一下子 m
发生 v
了 ul
这么些 r
变化 vn
― x
― x
或者说 c
， x
我 r
的 uj
薛峰 x
发生 v
了 ul
这么 r
大 a
的 uj
变化 vn
。 x
这 r
变化 vn
无疑 d
直接 ad
影响 vn
到 v
了 ul
我 r
。 x
我 r
怎么办 l
？ x
如果 c
在 p
我们 r
小时候 n
， x
要是 c
薛峰 x
坚持 v
要 v
干什么 l
事 n
， x
我 r
就是 d
心里 s
不 d
情愿 n
， x
也 d
会 v
毫不犹豫 l
跟着 v
他 r
去 v
干 v
的 uj
。 x
可是 c
现在 t
不行 v
。 x
我 r
已经 d
不是 c
一个 m
小孩子 n
了 ul
。 x
我 r
二十三岁 m
， x
并且 c
即 v
奖 n
大学毕业 n
。 x
更何况 l
， x
这 r
是 v
一些 m
多么 r
重大 a
的 uj
事 n
， x
能 v
随随便便 z
附和 v
他 r
吗 y
？ x
我 r
想 v
， x
一个 m
人 n
在 p
这么 r
大 a
的 uj
年龄 n
还 d
缺乏 v
主见 n
， x
还 d
不能自己 i
掌握 v
自己 r
的 uj
命运 n
， x
那 r
说不定 l
一生 m
都 d
要 v
成为 v
一个 m
可怜虫 v
。 x
我 r
不能 v
同意 d
薛峰 x
的 uj
意见 n
留在 v
这个 r
城市 ns
， x
并 c
不是 c
我 r
对 p
这 r
城市 ns
抱有成见 i
。 x
不 d
， x
在 p
学习 v
、 x
生活 vn
以至 c
其它 r
许多 m
方面 n
， x
这里 r
的 uj
条件 n
无疑 d
要 v
好得多 l
。 x
我 r
坚持 v
要去 v
的 uj
那个 r
地方 n
是 v
无法 n
和 c
这里 r
比较 d
的 uj
。 x
我 r
之所以 c
坚持 v
要 v
去 v
北方 f
的 uj
沙漠 n
， x
不仅仅 d
是 v
那里 r
更 d
需要 v
我 r
所学 n
的 uj
专业知识 n
， x
同时 c
也 d
是 v
我 r
自己 r
的 uj
生活 vn
观点 n
所 c
决定 v
的 uj
。 x
我 r
内心 n
强烈要求 l
我 r
这样 r
做 v
。 x
说 v
句 q
笑话 n
， x
如果 c
我 r
已经 d
是 v
个 q
老太婆 nr
， x
说不定 l
我会 n
愿意 v
留在 v
这里 r
过 ug
一种 m
较为 d
舒适 a
的 uj
生活 vn
。 x
我 r
现在 t
正 d
年轻 a
， x
我 r
愿意 v
自己 r
的 uj
青春 ns
在 p
一种 m
激荡 v
的 uj
生活 vn
中 f
度过 v
； x
我 r
愿意 v
过 ug
一种 m
充满 a
创造 v
乐趣 a
、 x
更为 d
纯洁 a
的 uj
生活 vn
。 x
我 r
知道 v
为此 r
要 v
付出 v
一些 m
代价 n
， x
要 v
牺牲 v
许多 m
世俗 n
的 uj
享乐 v
。 x
这 r
一切 r
对于 p
在 p
这个 r
城市 ns
生活 vn
惯 v
了 ul
的 uj
某些 r
青年 t
也许 d
是 v
可怕 c
的 uj
。 x
可是 c
， x
我 r
的 uj
薛峰 x
为什么 r
也 d
惧怕 v
了 ul
， x
退缩 v
了 ul
？ x
我 r
怎么 r
也 d
想不通 l
他 r
现在 t
会 v
这样 r
。 x
记得 v
小时候 n
上学时 n
， x
我们 r
在 p
大热天 n
穿着 v
破破烂烂 z
的 uj
衣服 n
上山 ns
去 v
砍柴 n
， x
又 d
饿 v
又 d
渴 a
不算 v
， x
连 nr
个 q
歇凉 v
的 uj
地方 n
都 d
没有 v
， x
一架 m
山上 s
不 d
长 a
一棵树 ns
。 x
在 p
火辣辣 z
的 uj
阳光 nr
下 f
， x
我们 r
望 v
着 uz
那些 r
光秃秃 z
的 uj
山梁 ns
， x
说 v
过 ug
我们 r
长大 ns
后 f
要 v
在 p
这里 r
栽 v
许多 m
树 v
， x
而且 c
是 v
果树 n
； x
不光 c
人 n
能 v
歇 v
荫凉 a
， x
还要 c
叫 v
树上 s
结满 v
果子 n
。 x
到 v
高中 s
时 n
， x
这个 r
愿望 v
仍然 d
纠缠 v
着 uz
我们 r
。 x
我们 r
商量 n
好 a
考大学 n
时 ng
都 d
报 v
林业 n
学院 n
。 x
薛峰 x
后来 t
改变 v
志愿 n
报考 v
师大 j
完全 ad
是因为 c
另外 c
一件 m
事 n
。 x
那年 r
， x
我们 r
在 p
小学 n
时 ng
的 uj
一个 m
同学 n
由于 c
没 v
能 v
进入 v
县立 b
中学 n
， x
在 p
社办 n
中学 n
读完 v
初中 f
